@relation features

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
3.6069,6.1754,6.1671,3.5635,5.6918,6.9648,10.799,0.004,0.01,0.04,0.214,0.444,0.206,0.062,0.008,0.008,0.004,0.016,0.122,0.238,0.318,0.156,0.064,0.034,0.02,0.012,0.02,0.004,0.01,0.026,0.108,0.45,0.306,0.048,0.024,0.006,0.018,407.08,401.13,241.14,3
3.4378,6.5529,5.7643,3.4546,6.2688,6.343,10.691,0.006,0.042,0.328,0.468,0.12,0.024,0.006,0.004,0,0.002,0.006,0.158,0.21,0.304,0.156,0.082,0.022,0.02,0.008,0.034,0.006,0.014,0.05,0.184,0.458,0.2,0.04,0.02,0.02,0.008,412.08,460.43,306.56,3
3.5406,5.6982,5.3414,3.6832,5.647,6.2021,9.7538,0.008,0.042,0.264,0.502,0.14,0.028,0.008,0.004,0.002,0.002,0.048,0.106,0.312,0.296,0.11,0.062,0.022,0.018,0.006,0.02,0.002,0.006,0.028,0.07,0.446,0.354,0.048,0.024,0.012,0.01,329.27,397.83,318.56,3
3.2628,5.8605,5.5448,2.8485,5.4012,6.3383,10.016,0.004,0.01,0.062,0.232,0.354,0.23,0.074,0.016,0.014,0.004,0.022,0.122,0.27,0.294,0.158,0.05,0.046,0.016,0.01,0.012,0.018,0.022,0.086,0.264,0.432,0.102,0.042,0.014,0.006,0.014,401.21,337.39,295.88,3
3.2618,6.9564,5.327,3.5613,6.4808,6.2136,10.505,0.002,0.006,0.006,0.106,0.386,0.378,0.08,0.006,0.02,0.01,0.098,0.172,0.262,0.23,0.1,0.044,0.032,0.024,0.008,0.03,0.004,0.008,0.028,0.084,0.424,0.35,0.062,0.014,0.01,0.016,354.68,391.6,267.3,3
3.3713,5.6692,5.6061,3.4148,5.4364,6.3913,9.9316,0.004,0,0.026,0.13,0.454,0.314,0.048,0.018,0.002,0.004,0.064,0.166,0.316,0.246,0.108,0.032,0.026,0.016,0.012,0.014,0.004,0.014,0.032,0.132,0.468,0.268,0.034,0.028,0.004,0.016,451.76,434.91,310.58,3
3.0509,6.0724,5.2799,2.7233,5.5884,5.5966,9.7368,0.002,0.004,0.01,0.048,0.27,0.426,0.174,0.046,0.018,0.002,0.06,0.164,0.288,0.238,0.116,0.052,0.036,0.02,0.008,0.018,0.004,0.012,0.054,0.252,0.454,0.178,0.02,0.006,0.01,0.01,329.74,381.19,282.03,3
2.3829,4.6663,4.7365,2.5783,4.9832,5.4019,8.0113,0.002,0,0,0,0.004,0.018,0.232,0.608,0.118,0.018,0.09,0.172,0.37,0.232,0.05,0.04,0.016,0.01,0.014,0.006,0.002,0.03,0.18,0.432,0.27,0.034,0.024,0.008,0.006,0.014,427.59,381.04,298.9,3
2.727,5.4222,4.8594,3.2157,5.5081,5.7215,8.7791,0.002,0,0.002,0.028,0.41,0.514,0.036,0.006,0,0.002,0.004,0.028,0.146,0.346,0.302,0.098,0.028,0.018,0.016,0.014,0.002,0.008,0.008,0.052,0.4,0.432,0.046,0.028,0.012,0.012,342.44,401.95,289.56,3
2.1907,4.5398,4.1942,2.2248,4.6632,4.8852,7.4038,0.006,0.006,0.036,0.156,0.46,0.272,0.044,0.014,0.004,0.002,0.034,0.116,0.23,0.362,0.132,0.062,0.03,0.01,0.008,0.016,0.002,0.002,0.004,0.04,0.404,0.45,0.064,0.02,0.008,0.006,409.58,370.96,325.67,3
2.3163,4.7172,4.2449,2.1998,4.828,5.3806,7.6479,0.002,0.018,0.082,0.348,0.37,0.136,0.036,0.004,0,0.004,0.066,0.146,0.31,0.282,0.098,0.042,0.022,0.014,0.008,0.012,0.014,0.016,0.094,0.486,0.288,0.056,0.022,0.006,0.01,0.008,347.85,434.91,290.81,3
2.5264,4.2593,3.9509,2.5742,4.6857,4.762,7.2391,0.01,0.014,0.056,0.234,0.426,0.184,0.046,0.02,0.002,0.008,0.028,0.132,0.33,0.346,0.08,0.044,0.016,0.01,0.008,0.006,0.008,0.022,0.096,0.486,0.304,0.046,0.02,0.006,0.002,0.01,419.36,375.21,309.57,3
2.6123,4.9569,4.0032,2.6312,5.0947,4.4114,7.8151,0.012,0.022,0.094,0.402,0.394,0.058,0.012,0.004,0,0.002,0.024,0.106,0.282,0.364,0.12,0.042,0.024,0.014,0.016,0.008,0.01,0.022,0.068,0.386,0.396,0.074,0.03,0.004,0.006,0.004,390.29,381.04,310.87,3
2.3404,4.671,3.7339,2.8803,4.6517,3.9568,7.2449,0.002,0.01,0.038,0.62,0.308,0.016,0.004,0,0,0.002,0.046,0.12,0.302,0.344,0.092,0.05,0.018,0.016,0.008,0.004,0.006,0.02,0.076,0.402,0.392,0.066,0.028,0.004,0.004,0.002,379.52,357.15,275.5,3
4.584,6.6179,3.7385,3.2778,3.8039,4.1901,9.6965,0.003,0.007,0.004,0.018,0.311,0.302,0.121,0.102,0.095,0.037,0.051,0.128,0.151,0.106,0.158,0.206,0.172,0.018,0.008,0.002,0.017,0.021,0.015,0.028,0.045,0.229,0.476,0.106,0.042,0.021,246.28,340.25,382.35,2
4.946,6.4025,3.729,3.8463,3.7533,4.1792,9.8044,0.002,0.004,0.009,0.048,0.258,0.33,0.16,0.096,0.076,0.017,0.058,0.118,0.14,0.125,0.151,0.268,0.123,0.008,0.007,0.002,0.017,0.028,0.014,0.043,0.092,0.378,0.315,0.078,0.024,0.011,360.37,359.96,462.33,2
4.8373,6.2906,3.8418,3.8709,3.6534,4.1046,9.7811,0.002,0.028,0.056,0.238,0.327,0.175,0.087,0.071,0.015,0.001,0.051,0.091,0.169,0.134,0.143,0.26,0.134,0.01,0.004,0.004,0.016,0.013,0.03,0.08,0.205,0.473,0.114,0.042,0.019,0.008,336.21,326.43,355.62,2
